energy rate multiplier
NPV
169730.76,200435.54,284286.59
169772.87,170606.56,171445.19,172288.85,173137.55,173991.31,174850.16,175714.19,176583.4,177457.78,178337.41,179222.38,180112.61,181008.2,181909.18,182815.58,183727.47,184644.81,185567.7,186496.15,187430.22,188369.93,189315.3,190266.44,191223.28,192185.94,193154.47,194128.8,195109.08,196095.35,197087.54,198085.77,199090.15,200100.58,201117.14,202139.96,203168.97,204204.27,205245.95,206293.91,207348.27,208409.14,209476.46,210550.33,211630.76,212717.86,213811.57,214912.04,216019.28,217133.29,218254.19,219381.94,220516.62,221658.31,222807.05,223962.91,225125.81,226295.96,227473.3,228657.97,229849.91,231049.23,232256.02,233470.24,234691.99,235921.33,237158.32,238402.97,239655.34,240915.51,242183.5,243459.41,244743.27,246035.06,247334.97,248642.96,249959.11,251283.51,252616.15,253957.1,255306.45,256664.26,258030.59,259405.46,260788.91,262181.05,263581.96,264991.59,266410.16,267837.58,269274.02,270719.44,272174.02,273637.7,275110.6,276592.84,278084.38,279585.33,281095.81,282615.77,284145.36
